tick_ms,test_val_a,test_val_b
1010,4.410006046295166,95.58905792236328
1020,4.460007190704346,95.53904724121094
1030,4.510008335113525,95.4890365600586
1040,4.560009479522705,95.43902587890625
1050,4.610010623931885,95.3890151977539
1060,4.6600117683410645,95.33900451660156
1070,4.710012912750244,95.28899383544922
1080,4.760014057159424,95.23898315429688
1091,4.8100152015686035,95.18897247314453
1101,4.860016345977783,95.13896179199219
1111,4.910017490386963,95.08895111083984
1121,4.960018634796143,95.0389404296875
1131,5.010019779205322,94.98892974853516
1141,5.060020923614502,94.93891906738281
1152,5.110022068023682,94.88890838623047
1162,5.160023212432861,94.83889770507812
1172,5.210024356842041,94.78888702392578
1182,5.260025501251221,94.73887634277344
1192,5.3100266456604,94.6888656616211
1202,5.36002779006958,94.63885498046875
1212,5.41002893447876,94.5888442993164
1223,5.4600300788879395,94.53883361816406
1233,5.510031223297119,94.48882293701172
1243,5.560032367706299,94.43881225585938
1253,5.6100335121154785,94.38880157470703
1264,5.660034656524658,94.33879089355469
1274,5.710035800933838,94.28878021240234
1284,5.760036945343018,94.23876953125
1295,5.810038089752197,94.18875885009766
1305,5.860039234161377,94.13874816894531
1315,5.910040378570557,94.08873748779297
1325,5.960041522979736,94.03872680664062
1335,6.010042667388916,93.98871612548828
1345,6.060043811798096,93.93870544433594
1355,6.110044956207275,93.8886947631836
1366,6.160046100616455,93.83868408203125
1376,6.210047245025635,93.7886734008789
1386,6.2600483894348145,93.73866271972656
1396,6.310049533843994,93.68865203857422
1406,6.360050678253174,93.63864135742188
1416,6.4100518226623535,93.58863067626953
1426,6.460052967071533,93.53861999511719
1436,6.510054111480713,93.48860931396484
1446,6.560055255889893,93.4385986328125
1456,6.610056400299072,93.38858795166016
1466,6.660057544708252,93.33857727050781
1476,6.710058689117432,93.28856658935547
1486,6.760059833526611,93.23855590820312
1497,6.810060977935791,93.18854522705078
1507,6.860062122344971,93.13853454589844
1517,6.91006326675415,93.0885238647461
1527,6.96006441116333,93.03851318359375
1537,7.01006555557251,92.9885025024414
1547,7.0600666999816895,92.93849182128906
1557,7.110067844390869,92.88848114013672
1568,7.160068988800049,92.83847045898438
1578,7.2100701332092285,92.78845977783203
1588,7.260071277618408,92.73844909667969
1598,7.310072422027588,92.68843841552734
1608,7.360073566436768,92.638427734375
1618,7.410074710845947,92.58841705322266
1628,7.460075855255127,92.53840637207031
1638,7.510076999664307,92.48839569091797
1648,7.560078144073486,92.43838500976562
1658,7.610079288482666,92.38837432861328
1669,7.660080432891846,92.33836364746094
1679,7.710081577301025,92.2883529663086
1689,7.760082721710205,92.23834228515625
1699,7.810083866119385,92.1883316040039
1709,7.8600850105285645,92.13832092285156
1719,7.910086154937744,92.08831024169922
1729,7.960087299346924,92.03829956054688
1739,8.010087966918945,91.98828887939453
1749,8.060089111328125,91.93827819824219
1759,8.110090255737305,91.88826751708984
1769,8.160091400146484,91.8382568359375
1779,8.210092544555664,91.78824615478516
1789,8.260093688964844,91.73823547363281
1799,8.310094833374023,91.68822479248047
1810,8.360095977783203,91.63821411132812
1820,8.410097122192383,91.58820343017578
1830,8.460098266601562,91.53819274902344
1840,8.510099411010742,91.4881820678711
1850,8.560100555419922,91.43817138671875
1860,8.610101699829102,91.3881607055664
1870,8.660102844238281,91.33815002441406
1881,8.710103988647461,91.28813934326172
1891,8.76010513305664,91.23812866210938
1901,8.81010627746582,91.18811798095703
1911,8.860107421875,91.13810729980469
1921,8.91010856628418,91.08809661865234
1931,8.96010971069336,91.0380859375
1941,9.010110855102539,90.98807525634766
1952,9.060111999511719,90.93806457519531
1962,9.110113143920898,90.88805389404297
1972,9.160114288330078,90.83804321289062
1982,9.210115432739258,90.78803253173828
1992,9.260116577148438,90.73802185058594
2002,9.310117721557617,90.6880111694336
2013,9.360118865966797,90.63800048828125
2023,9.410120010375977,90.5879898071289
2033,9.460121154785156,90.53797912597656
2043,9.510122299194336,90.48796844482422
2054,9.560123443603516,90.43795776367188
2064,9.610124588012695,90.38794708251953
2074,9.660125732421875,90.33793640136719
2084,9.710126876831055,90.28792572021484
2094,9.760128021240234,90.2379150390625
2104,9.810129165649414,90.18790435791016
2114,9.860130310058594,90.13789367675781
2125,9.910131454467773,90.08788299560547
2135,9.960132598876953,90.03787231445312
2145,10.010133743286133,89.98786163330078
2155,10.060134887695312,89.93785095214844
2165,10.110136032104492,89.8878402709961
2175,10.160137176513672,89.83782958984375
2185,10.210138320922852,89.7878189086914
2195,10.260139465332031,89.73780822753906
2205,10.310140609741211,89.68779754638672
2215,10.36014175415039,89.63778686523438
2225,10.41014289855957,89.58777618408203
2235,10.46014404296875,89.53776550292969
2245,10.51014518737793,89.48775482177734
2256,10.56014633178711,89.437744140625
2266,10.610147476196289,89.38773345947266
2276,10.660148620605469,89.33772277832031
2286,10.710149765014648,89.28771209716797
2296,10.760150909423828,89.23770141601562
2306,10.810152053833008,89.18769073486328
2316,10.860153198242188,89.13768005371094
2327,10.910154342651367,89.0876693725586
2337,10.960155487060547,89.03765869140625
2347,11.010156631469727,88.9876480102539
2357,11.060157775878906,88.93763732910156
2367,11.110158920288086,88.88762664794922
2377,11.160160064697266,88.83761596679688
2387,11.210161209106445,88.78760528564453
2398,11.260162353515625,88.73759460449219
2408,11.310163497924805,88.68758392333984
2418,11.360164642333984,88.6375732421875
2429,11.410165786743164,88.58756256103516
2439,11.460166931152344,88.53755187988281
2449,11.510168075561523,88.48754119873047
2459,11.560169219970703,88.43753051757812
2469,11.610170364379883,88.38751983642578
2479,11.660171508789062,88.33750915527344
2489,11.710172653198242,88.2874984741211
2500,11.760173797607422,88.23748779296875
2510,11.810174942016602,88.1874771118164
2520,11.860176086425781,88.13746643066406
2530,11.910177230834961,88.08745574951172
2540,11.96017837524414,88.03744506835938
2550,12.01017951965332,87.98743438720703
2560,12.0601806640625,87.93742370605469
2570,12.11018180847168,87.88741302490234
2580,12.16018295288086,87.83740234375
2590,12.210184097290039,87.78739166259766
2600,12.260185241699219,87.73738098144531
2610,12.310186386108398,87.68737030029297
2620,12.360187530517578,87.63735961914062
2630,12.410188674926758,87.58734893798828
2641,12.460189819335938,87.53733825683594
2651,12.510190963745117,87.4873275756836
2661,12.560192108154297,87.43731689453125
2671,12.610193252563477,87.3873062133789
2681,12.660194396972656,87.33729553222656
2691,12.710195541381836,87.28728485107422
2701,12.760196685791016,87.23727416992188
2711,12.810197830200195,87.18726348876953
2721,12.860198974609375,87.13725280761719
2731,12.910200119018555,87.08724212646484
2742,12.960201263427734,87.0372314453125
2752,13.010202407836914,86.98722076416016
2762,13.060203552246094,86.93721008300781
2772,13.110204696655273,86.88719940185547
2782,13.160205841064453,86.83718872070312
2792,13.210206985473633,86.78717803955078
2802,13.260208129882812,86.73716735839844
2813,13.310209274291992,86.6871566772461
2823,13.360210418701172,86.63714599609375
2833,13.410211563110352,86.5871353149414
2844,13.460212707519531,86.53712463378906
